node,product_id,seller_id,category,rating,review_count,degree,weighted_degree,max_overlap,mean_jaccard,max_jaccard,clustering_coeff,core_number,pagerank,community_id,community_density,seller_concentration,hazard_code,is_known_eu_sanction,is_true_dangerous,product_hazard_index,risk_tier,anomaly_prediction,is_suspicious,anomaly_score
prod_20000457,20000457,1000014,Sports & Entertainment,4.29,84,125,311,31,0.0192,0.0696,0.0083,28,0.011431,44,0.1131,0.048,NONE,False,False,0.4696,HIGH_RISK,-1,True,-0.0356
prod_20000057,20000057,1000015,Sports & Entertainment,4.75,16,14,44,5,0.1407,0.2381,0.0301,11,0.002937,69,0.9333,0.067,NONE,False,False,0.2907,MODERATE_RISK,-1,True,-0.0327
prod_20000462,20000462,1000031,Sports & Entertainment,5.0,1,2,2,1,0.2635,0.5,0.0152,2,0.00047,27,0.1093,0.069,NONE,False,False,0.0433,LOW_RISK,-1,True,-0.0321
prod_20000146,20000146,1000042,Tools & Home Improvement,3.93,0,0,0,0,0.0,0.0,0.0,0,0.000337,62,0.0,1.0,NONE,False,False,0.0833,LOW_RISK,-1,True,-0.0313
prod_20000360,20000360,1000048,Home & Garden,4.25,85,126,305,28,0.0188,0.0603,0.0084,28,0.011217,44,0.1131,0.048,CHOKE_CHILD,True,True,0.689,CRITICAL_HAZARD,-1,True,-0.0296
prod_20000014,20000014,1000042,Jewelry & Accessories,4.86,14,14,47,6,0.1624,0.2857,0.0318,11,0.003031,31,0.9238,0.133,NONE,False,False,0.1635,MODERATE_RISK,-1,True,-0.0294
prod_20000155,20000155,1000034,Phones & Telecommunications,5.0,1,6,6,1,0.1854,1.0,0.0174,6,0.000583,27,0.1093,0.069,NONE,False,False,0.1014,LOW_RISK,-1,True,-0.0284
prod_20000067,20000067,1000034,Home & Garden,5.0,12,14,43,7,0.1609,0.3333,0.0298,11,0.002606,34,0.9048,0.133,NONE,False,False,0.164,MODERATE_RISK,-1,True,-0.0281
prod_20000062,20000062,1000013,Tools & Home Improvement,4.85,13,13,44,6,0.1662,0.3158,0.0347,11,0.002623,34,0.9048,0.133,CHEM_TOXIC,False,True,0.2721,MODERATE_RISK,-1,True,-0.028
prod_20000128,20000128,1000028,Jewelry & Accessories,4.0,1,6,6,1,0.1854,1.0,0.0174,6,0.000583,27,0.1093,0.069,NONE,False,False,0.1168,LOW_RISK,-1,True,-0.0277
prod_20000029,20000029,1000034,Computer & Office,5.0,13,14,44,6,0.1601,0.3158,0.0298,12,0.002942,17,0.9429,0.133,NONE,False,False,0.2106,MODERATE_RISK,-1,True,-0.0267
prod_20000072,20000072,1000041,Consumer Electronics,5.0,4,8,14,3,0.1256,0.2308,0.022,8,0.001063,34,0.9048,0.133,NONE,False,False,0.1077,LOW_RISK,-1,True,-0.024
prod_20000321,20000321,1000040,Automotive,3.96,0,0,0,0,0.0,0.0,0.0,0,0.000337,46,0.0,1.0,NONE,False,False,0.0191,LOW_RISK,-1,True,-0.0239
prod_20000294,20000294,1000030,Jewelry & Accessories,4.97,0,0,0,0,0.0,0.0,0.0,0,0.000337,4,0.0,1.0,NONE,False,False,0.1887,MODERATE_RISK,-1,True,-0.021
prod_20000065,20000065,1000020,Phones & Telecommunications,4.75,12,14,43,6,0.1591,0.3333,0.0303,11,0.002585,34,0.9048,0.133,NONE,False,False,0.155,MODERATE_RISK,-1,True,-0.0197
prod_20000455,20000455,1000043,Jewelry & Accessories,4.18,60,118,227,20,0.0201,0.0674,0.0075,28,0.008683,66,0.1199,0.053,NONE,False,False,0.3979,HIGH_RISK,-1,True,-0.0182
prod_20000052,20000052,1000020,Consumer Electronics,4.86,14,14,43,6,0.1486,0.3333,0.0293,11,0.002863,69,0.9333,0.067,NONE,False,False,0.221,MODERATE_RISK,-1,True,-0.0178
prod_20000064,20000064,1000042,Automotive,4.8,10,11,28,4,0.1361,0.2222,0.0315,11,0.00178,34,0.9048,0.133,NONE,False,False,0.1415,LOW_RISK,-1,True,-0.0178
prod_20000002,20000002,1000046,Automotive,5.0,7,10,25,4,0.1604,0.3077,0.0295,10,0.001737,31,0.9238,0.133,NONE,False,False,0.1154,LOW_RISK,-1,True,-0.0173
prod_20000331,20000331,1000024,Home & Garden,4.93,0,0,0,0,0.0,0.0,0.0,0,0.000337,54,0.0,1.0,NONE,False,False,0.1392,LOW_RISK,-1,True,-0.0162
prod_20000414,20000414,1000044,Phones & Telecommunications,5.0,0,0,0,0,0.0,0.0,0.0,0,0.000337,52,0.0,1.0,NONE,False,False,0.056,LOW_RISK,-1,True,-0.0146
prod_20000211,20000211,1000000,Home & Garden,5.0,0,0,0,0,0.0,0.0,0.0,0,0.000337,16,0.0,1.0,NONE,False,False,0.0503,LOW_RISK,-1,True,-0.0146
prod_20000200,20000200,1000029,Computer & Office,5.0,0,0,0,0,0.0,0.0,0.0,0,0.000337,12,0.0,1.0,NONE,False,False,0.1188,LOW_RISK,-1,True,-0.0146
prod_20000226,20000226,1000046,Automotive,5.0,0,0,0,0,0.0,0.0,0.0,0,0.000337,11,0.0,1.0,NONE,False,False,0.0502,LOW_RISK,-1,True,-0.0146
prod_20000195,20000195,1000002,Tools & Home Improvement,5.0,0,0,0,0,0.0,0.0,0.0,0,0.000337,59,0.0,1.0,NONE,False,False,0.2107,MODERATE_RISK,-1,True,-0.0146
prod_20000132,20000132,1000048,Home & Garden,5.0,0,0,0,0,0.0,0.0,0.0,0,0.000337,5,0.0,1.0,NONE,False,False,0.1566,MODERATE_RISK,-1,True,-0.0146
prod_20000344,20000344,1000000,Consumer Electronics,5.0,0,0,0,0,0.0,0.0,0.0,0,0.000337,42,0.0,1.0,NONE,False,False,0.0503,LOW_RISK,-1,True,-0.0146
prod_20000049,20000049,1000046,Jewelry & Accessories,4.8,10,14,39,5,0.1584,0.25,0.0282,11,0.002626,69,0.9333,0.067,NONE,False,False,0.2324,MODERATE_RISK,-1,True,-0.0125
prod_20000043,20000043,1000048,Home & Garden,4.91,11,14,40,5,0.1601,0.3333,0.0281,12,0.002742,57,0.9524,0.133,CHEM_TOXIC,True,True,0.5501,HIGH_RISK,-1,True,-0.0122
prod_20000121,20000121,1000008,Home & Garden,5.0,1,5,5,1,0.2317,0.5,0.0131,5,0.000653,44,0.1131,0.048,NONE,False,False,0.0534,LOW_RISK,-1,True,-0.0117
prod_20000098,20000098,1000047,Home & Garden,4.0,1,3,3,1,0.2217,0.5,0.012,3,0.000478,44,0.1131,0.048,NONE,False,False,0.1017,LOW_RISK,-1,True,-0.0111
prod_20000379,20000379,1000039,Sports & Entertainment,2.0,1,1,1,1,0.0118,0.0118,0.0,1,0.000369,44,0.1131,0.048,CHOKE_CHILD,False,True,0.291,MODERATE_RISK,-1,True,-0.011
prod_20000130,20000130,1000010,Phones & Telecommunications,4.91,0,0,0,0,0.0,0.0,0.0,0,0.000337,20,0.0,1.0,NONE,False,False,0.1406,LOW_RISK,-1,True,-0.0105
prod_20000026,20000026,1000004,Consumer Electronics,4.92,12,11,34,6,0.1605,0.3158,0.0311,11,0.002325,17,0.9429,0.133,NONE,False,False,0.1989,MODERATE_RISK,-1,True,-0.0092
prod_20000030,20000030,1000036,Jewelry & Accessories,5.0,10,14,33,6,0.1378,0.375,0.0247,12,0.002316,57,0.9524,0.133,NONE,False,False,0.2063,MODERATE_RISK,-1,True,-0.0086
prod_20000003,20000003,1000048,Computer & Office,4.8,10,14,38,6,0.1558,0.3529,0.0274,11,0.002496,31,0.9238,0.133,ELEC_SHOCK,False,True,0.2003,MODERATE_RISK,-1,True,-0.008
prod_20000039,20000039,1000027,Computer & Office,4.8,5,13,21,3,0.1189,0.25,0.0206,12,0.00159,57,0.9524,0.133,NONE,False,False,0.1671,MODERATE_RISK,-1,True,-0.0066
prod_20000028,20000028,1000042,Jewelry & Accessories,4.85,13,14,40,5,0.1423,0.3125,0.028,12,0.0027,17,0.9429,0.133,NONE,False,False,0.1983,MODERATE_RISK,-1,True,-0.0061
prod_20000329,20000329,1000043,Computer & Office,4.02,54,110,205,17,0.021,0.0508,0.0076,28,0.007718,66,0.1199,0.053,NONE,False,False,0.3744,HIGH_RISK,-1,True,-0.0055
prod_20000111,20000111,1000046,Tools & Home Improvement,4.89,0,0,0,0,0.0,0.0,0.0,0,0.000337,61,0.0,1.0,NONE,False,False,0.0502,LOW_RISK,-1,True,-0.0049
prod_20000133,20000133,1000019,Home & Garden,4.12,59,107,215,20,0.0204,0.053,0.0081,28,0.008456,66,0.1199,0.053,NONE,False,False,0.4014,HIGH_RISK,-1,True,-0.0048
prod_20000068,20000068,1000016,Computer & Office,4.78,9,12,22,4,0.1025,0.2353,0.0222,11,0.001485,34,0.9048,0.133,NONE,False,False,0.1238,LOW_RISK,-1,True,-0.0047
prod_20000061,20000061,1000037,Tools & Home Improvement,4.92,13,13,41,6,0.1559,0.2609,0.0321,11,0.002492,34,0.9048,0.133,NONE,False,False,0.1787,MODERATE_RISK,-1,True,-0.0041
prod_20000284,20000284,1000028,Consumer Electronics,2.5,2,12,12,1,0.1097,0.5,0.0094,11,0.000831,27,0.1093,0.069,NONE,False,False,0.13,LOW_RISK,-1,True,-0.0031
prod_20000141,20000141,1000049,Phones & Telecommunications,3.5,2,5,6,2,0.1144,0.5,0.0228,4,0.000701,27,0.1093,0.069,NONE,False,False,0.0827,LOW_RISK,-1,True,-0.0025
prod_20000397,20000397,1000037,Tools & Home Improvement,4.09,0,0,0,0,0.0,0.0,0.0,0,0.000337,28,0.0,1.0,NONE,False,False,0.1196,LOW_RISK,-1,True,-0.0023
prod_20000060,20000060,1000005,Sports & Entertainment,5.0,12,14,39,6,0.1403,0.3333,0.0286,11,0.002367,34,0.9048,0.133,NONE,False,False,0.1424,LOW_RISK,-1,True,-0.0019
prod_20000041,20000041,1000028,Phones & Telecommunications,4.88,8,13,22,3,0.1032,0.2,0.0205,12,0.001656,57,0.9524,0.133,NONE,False,False,0.1748,MODERATE_RISK,-1,True,-0.0013
prod_20000177,20000177,1000048,Sports & Entertainment,3.98,47,90,163,19,0.0208,0.0596,0.0084,28,0.006178,27,0.1093,0.069,CHEM_TOXIC,False,True,0.3628,HIGH_RISK,-1,True,-0.0011
prod_20000069,20000069,1000004,Home & Garden,4.83,12,13,40,6,0.1561,0.3158,0.0312,11,0.002418,34,0.9048,0.133,NONE,False,False,0.161,MODERATE_RISK,1,False,0.0002
prod_20000055,20000055,1000032,Phones & Telecommunications,5.0,9,13,33,4,0.1553,0.3636,0.0272,11,0.002277,69,0.9333,0.067,NONE,False,False,0.2264,MODERATE_RISK,1,False,0.0014
prod_20000416,20000416,1000028,Home & Garden,4.35,37,91,162,15,0.0253,0.0541,0.0078,28,0.00645,27,0.1093,0.069,NONE,False,False,0.3368,MODERATE_RISK,1,False,0.0025
prod_20000464,20000464,1000045,Home & Garden,3.0,1,2,2,1,0.1961,0.3333,0.012,2,0.00047,27,0.1093,0.069,CHEM_TOXIC,True,True,0.5933,HIGH_RISK,1,False,0.003
prod_20000239,20000239,1000009,Automotive,4.36,53,104,202,14,0.0219,0.0584,0.0079,28,0.00786,66,0.1199,0.053,NONE,False,False,0.3907,HIGH_RISK,1,False,0.003
prod_20000001,20000001,1000029,Consumer Electronics,4.83,6,12,23,3,0.132,0.3,0.0236,11,0.001641,31,0.9238,0.133,NONE,False,False,0.1544,MODERATE_RISK,1,False,0.0035
prod_20000021,20000021,1000015,Home & Garden,4.92,12,13,37,4,0.1468,0.2,0.0291,12,0.002523,17,0.9429,0.133,NONE,False,False,0.2347,MODERATE_RISK,1,False,0.0041
prod_20000074,20000074,1000006,Computer & Office,4.9,10,13,38,5,0.1609,0.2778,0.0323,11,0.002307,34,0.9048,0.133,NONE,False,False,0.1534,MODERATE_RISK,1,False,0.0045
prod_20000035,20000035,1000003,Phones & Telecommunications,4.86,14,13,35,5,0.1264,0.2273,0.0276,12,0.00243,57,0.9524,0.133,NONE,False,False,0.2047,MODERATE_RISK,1,False,0.0052
prod_20000148,20000148,1000028,Computer & Office,4.19,63,112,234,21,0.0201,0.0596,0.0082,28,0.00878,44,0.1131,0.048,NONE,False,False,0.3943,HIGH_RISK,1,False,0.0055
prod_20000033,20000033,1000027,Tools & Home Improvement,5.0,10,13,36,4,0.1606,0.25,0.0283,12,0.002509,57,0.9524,0.133,NONE,False,False,0.2105,MODERATE_RISK,1,False,0.0056
prod_20000400,20000400,1000007,Phones & Telecommunications,4.15,0,0,0,0,0.0,0.0,0.0,0,0.000337,38,0.0,1.0,NONE,False,False,0.1116,LOW_RISK,1,False,0.0065
prod_20000017,20000017,1000034,Home & Garden,4.93,15,14,36,4,0.1176,0.2,0.0265,12,0.002479,17,0.9429,0.133,NONE,False,False,0.1929,MODERATE_RISK,1,False,0.0067
prod_20000058,20000058,1000036,Home & Garden,4.7,10,13,33,6,0.1424,0.3333,0.0264,11,0.00226,69,0.9333,0.067,NONE,False,False,0.2108,MODERATE_RISK,1,False,0.0067
prod_20000370,20000370,1000029,Automotive,4.13,0,0,0,0,0.0,0.0,0.0,0,0.000337,37,0.0,1.0,NONE,False,False,0.1188,LOW_RISK,1,False,0.0072
prod_20000413,20000413,1000032,Sports & Entertainment,4.13,0,0,0,0,0.0,0.0,0.0,0,0.000337,71,0.0,1.0,NONE,False,False,0.0989,LOW_RISK,1,False,0.0072
prod_20000435,20000435,1000036,Home & Garden,4.13,0,0,0,0,0.0,0.0,0.0,0,0.000337,49,0.0,1.0,NONE,False,False,0.1019,LOW_RISK,1,False,0.0072
prod_20000293,20000293,1000045,Automotive,4.17,0,0,0,0,0.0,0.0,0.0,0,0.000337,63,0.0,1.0,UNCERTIFIED_MED,True,True,0.5878,HIGH_RISK,1,False,0.0074
prod_20000005,20000005,1000032,Home & Garden,5.0,10,12,23,3,0.1012,0.1875,0.0238,11,0.001642,31,0.9238,0.133,NONE,False,False,0.1392,LOW_RISK,1,False,0.0075
prod_20000154,20000154,1000017,Tools & Home Improvement,4.84,0,0,0,0,0.0,0.0,0.0,0,0.000337,14,0.0,1.0,CHEM_TOXIC,False,True,0.2183,MODERATE_RISK,1,False,0.0077
prod_20000011,20000011,1000036,Phones & Telecommunications,5.0,7,11,27,4,0.1598,0.3,0.0283,11,0.001869,31,0.9238,0.133,NONE,False,False,0.1454,LOW_RISK,1,False,0.0077
prod_20000040,20000040,1000029,Home & Garden,5.0,13,14,37,5,0.1322,0.2632,0.0262,12,0.002566,57,0.9524,0.133,NONE,False,False,0.2348,MODERATE_RISK,1,False,0.0077
prod_20000066,20000066,1000029,Phones & Telecommunications,5.0,12,12,33,5,0.1371,0.2632,0.0314,11,0.002057,34,0.9048,0.133,NONE,False,False,0.1716,MODERATE_RISK,1,False,0.0081
prod_20000047,20000047,1000024,Automotive,4.86,14,14,29,4,0.0927,0.16,0.0231,11,0.002035,69,0.9333,0.067,CHEM_TOXIC,True,True,0.541,HIGH_RISK,1,False,0.0082
prod_20000479,20000479,1000032,Home & Garden,5.0,1,3,3,1,0.0073,0.0159,0.0387,3,0.000433,44,0.1131,0.048,NONE,False,False,0.1069,LOW_RISK,1,False,0.0087
prod_20000059,20000059,1000038,Consumer Electronics,4.83,12,13,36,4,0.144,0.2857,0.0275,11,0.002458,69,0.9333,0.067,NONE,False,False,0.283,MODERATE_RISK,1,False,0.0097
prod_20000032,20000032,1000006,Phones & Telecommunications,5.0,10,14,26,4,0.1021,0.2222,0.0217,12,0.001894,57,0.9524,0.133,NONE,False,False,0.1629,MODERATE_RISK,1,False,0.0098
prod_20000424,20000424,1000047,Tools & Home Improvement,4.19,59,104,227,19,0.0222,0.0667,0.0089,28,0.00865,44,0.1131,0.048,NONE,False,False,0.3977,HIGH_RISK,1,False,0.0102
prod_20000199,20000199,1000027,Tools & Home Improvement,4.83,0,0,0,0,0.0,0.0,0.0,0,0.000337,56,0.0,1.0,NONE,False,False,0.0886,LOW_RISK,1,False,0.0104
prod_20000037,20000037,1000015,Home & Garden,5.0,10,12,24,3,0.1087,0.1875,0.0237,12,0.001773,57,0.9524,0.133,NONE,False,False,0.2102,MODERATE_RISK,1,False,0.011
prod_20000445,20000445,1000010,Tools & Home Improvement,4.21,0,0,0,0,0.0,0.0,0.0,0,0.000337,43,0.0,1.0,NONE,False,False,0.1406,LOW_RISK,1,False,0.0112
prod_20000489,20000489,1000040,Automotive,4.18,0,0,0,0,0.0,0.0,0.0,0,0.000337,23,0.0,1.0,NONE,False,False,0.0191,LOW_RISK,1,False,0.0114
prod_20000045,20000045,1000013,Sports & Entertainment,5.0,6,12,24,4,0.1396,0.3636,0.0233,11,0.001735,69,0.9333,0.067,NONE,False,False,0.2947,MODERATE_RISK,1,False,0.013
prod_20000073,20000073,1000035,Automotive,5.0,7,13,33,4,0.1575,0.25,0.0299,11,0.00205,34,0.9048,0.133,NONE,False,False,0.146,LOW_RISK,1,False,0.0134
prod_20000012,20000012,1000046,Jewelry & Accessories,4.93,15,14,33,5,0.1051,0.2083,0.0248,11,0.002225,31,0.9238,0.133,NONE,False,False,0.1281,LOW_RISK,1,False,0.0135
prod_20000171,20000171,1000037,Consumer Electronics,3.78,32,92,150,11,0.027,0.0769,0.0079,28,0.005974,27,0.1093,0.069,NONE,False,False,0.3411,MODERATE_RISK,1,False,0.0135
prod_20000038,20000038,1000034,Jewelry & Accessories,4.89,9,13,28,5,0.1307,0.3333,0.0237,12,0.002017,57,0.9524,0.133,NONE,False,False,0.2008,MODERATE_RISK,1,False,0.0136
prod_20000419,20000419,1000027,Tools & Home Improvement,4.26,0,0,0,0,0.0,0.0,0.0,0,0.000337,18,0.0,1.0,NONE,False,False,0.0886,LOW_RISK,1,False,0.0152
prod_20000044,20000044,1000026,Jewelry & Accessories,5.0,8,13,23,3,0.1104,0.2143,0.0212,12,0.00172,57,0.9524,0.133,NONE,False,False,0.1791,MODERATE_RISK,1,False,0.0164
prod_20000220,20000220,1000047,Tools & Home Improvement,4.0,2,6,6,1,0.1745,0.5,0.0095,5,0.000701,44,0.1131,0.048,NONE,False,False,0.1113,LOW_RISK,1,False,0.0165
prod_20000050,20000050,1000012,Automotive,5.0,6,11,21,4,0.1261,0.2857,0.0225,11,0.001554,69,0.9333,0.067,NONE,False,False,0.1727,MODERATE_RISK,1,False,0.0165
prod_20000019,20000019,1000041,Tools & Home Improvement,4.8,10,13,31,4,0.1392,0.2857,0.0251,12,0.002177,17,0.9429,0.133,NONE,False,False,0.1677,MODERATE_RISK,1,False,0.0168
prod_20000317,20000317,1000005,Tools & Home Improvement,4.0,1,2,2,1,0.0097,0.0169,0.0321,2,0.000401,44,0.1131,0.048,NONE,False,False,0.0678,LOW_RISK,1,False,0.0172
prod_20000179,20000179,1000047,Consumer Electronics,4.8,0,0,0,0,0.0,0.0,0.0,0,0.000337,64,0.0,1.0,NONE,False,False,0.0929,LOW_RISK,1,False,0.0175
prod_20000441,20000441,1000009,Sports & Entertainment,4.8,0,0,0,0,0.0,0.0,0.0,0,0.000337,50,0.0,1.0,NONE,False,False,0.1034,LOW_RISK,1,False,0.0175
prod_20000106,20000106,1000041,Sports & Entertainment,4.05,44,97,173,10,0.0233,0.0625,0.0074,28,0.006734,66,0.1199,0.053,NONE,False,False,0.3634,HIGH_RISK,1,False,0.0179
prod_20000027,20000027,1000004,Home & Garden,5.0,8,12,28,5,0.1461,0.3125,0.025,12,0.001986,17,0.9429,0.133,NONE,False,False,0.1611,MODERATE_RISK,1,False,0.018
prod_20000183,20000183,1000009,Home & Garden,1.0,2,9,9,1,0.0232,0.0769,0.0219,9,0.000638,44,0.1131,0.048,NONE,False,False,0.1278,LOW_RISK,1,False,0.0185
prod_20000160,20000160,1000029,Sports & Entertainment,4.24,46,103,177,15,0.0221,0.0615,0.0072,28,0.006817,44,0.1131,0.048,NONE,False,False,0.3885,HIGH_RISK,1,False,0.0192
prod_20000303,20000303,1000020,Home & Garden,4.73,0,0,0,0,0.0,0.0,0.0,0,0.000337,9,0.0,1.0,NONE,False,False,0.0756,LOW_RISK,1,False,0.0194
prod_20000254,20000254,1000045,Automotive,4.65,0,0,0,0,0.0,0.0,0.0,0,0.000337,51,0.0,1.0,NONE,False,False,0.3486,MODERATE_RISK,1,False,0.0194
prod_20000353,20000353,1000018,Tools & Home Improvement,4.29,51,101,208,18,0.0228,0.0571,0.0091,28,0.007814,44,0.1131,0.048,NONE,False,False,0.386,HIGH_RISK,1,False,0.0197
prod_20000169,20000169,1000010,Jewelry & Accessories,4.77,0,0,0,0,0.0,0.0,0.0,0,0.000337,1,0.0,1.0,UNCERTIFIED_MED,False,True,0.1406,LOW_RISK,1,False,0.0198
prod_20000469,20000469,1000025,Sports & Entertainment,4.64,0,0,0,0,0.0,0.0,0.0,0,0.000337,26,0.0,1.0,NONE,False,False,0.0607,LOW_RISK,1,False,0.0199
prod_20000330,20000330,1000011,Phones & Telecommunications,4.79,0,0,0,0,0.0,0.0,0.0,0,0.000337,2,0.0,1.0,NONE,False,False,0.0438,LOW_RISK,1,False,0.0201
prod_20000343,20000343,1000042,Sports & Entertainment,4.79,0,0,0,0,0.0,0.0,0.0,0,0.000337,7,0.0,1.0,NONE,False,False,0.0833,LOW_RISK,1,False,0.0201
prod_20000324,20000324,1000010,Automotive,1.0,1,5,5,1,0.0614,0.1429,0.0195,5,0.000517,27,0.1093,0.069,NONE,False,False,0.1676,MODERATE_RISK,1,False,0.0202
prod_20000316,20000316,1000044,Sports & Entertainment,3.5,2,6,6,1,0.1638,0.5,0.0141,5,0.000697,44,0.1131,0.048,NONE,False,False,0.0796,LOW_RISK,1,False,0.0204
prod_20000125,20000125,1000035,Consumer Electronics,4.5,2,5,6,2,0.1363,0.5,0.0112,4,0.000719,44,0.1131,0.048,NONE,False,False,0.1011,LOW_RISK,1,False,0.0205
prod_20000100,20000100,1000002,Jewelry & Accessories,3.0,1,3,3,1,0.0111,0.0196,0.0306,3,0.000432,44,0.1131,0.048,UNCERTIFIED_MED,True,True,0.5363,HIGH_RISK,1,False,0.0205
prod_20000016,20000016,1000038,Sports & Entertainment,5.0,7,13,24,4,0.123,0.3333,0.0217,12,0.001759,17,0.9429,0.133,NONE,False,False,0.2333,MODERATE_RISK,1,False,0.0207
